poem_name	poem
sonnet i	fairest creatur desir increas therebi beauti rose might never die riper time deceas tender heir might bear memori thou contract thine bright eye feedst thi lightst flame self - substanti fuel make famin abund lie thyself thi foe thi sweet self cruel thou art world fresh ornament herald gaudi spring within thine bud buriest thi content tender churl makest wast niggard piti world els glutton eat world due grave thee
sonnet ii	forti winter shall beseig thi brow dig deep trench thi beauti field thi youth proud liveri gaze tatterd weed small worth held askd thi beauti lie treasur thi lusti day say within thine deep - sunken eye - eat shame thriftless prais much prais deserv thi beauti use thou couldst answer fair child mine shall sum count make old excus prove beauti success thine new made thou art old see thi blood warm thou feelst cold
sonnet iii	look thi glass tell face thou viewest time face form anoth ; whose fresh repair thou renewest thou dost beguil world unbless mother fair whose uneard womb disdain tillag thi husbandri fond tomb self - love stop poster thou art thi mother glass thee call back love april prime thou window thine age shall see despit wrinkl thi golden time thou live rememberd die singl thine imag die thee
sonnet iv	unthrifti loveli dost thou spend upon thyself thi beauti legaci natur bequest give noth doth lend frank lend free beauteou niggard dost thou abus bounteou largess given thee give profitless usur dost thou use great sum sum yet canst live traffic thyself alon thou thyself thi sweet self dost deceiv natur call thee gone accept audit canst thou leav thi unus beauti must tombd thee use live th executor
sonnet v	hour gentl work frame love gaze everi eye doth dwell play tyrant unfair fairli doth excel never - rest time lead summer hideou winter confound ; sap chequ frost lusti leav quit gone beauti oersnowd bare everi summer distil left liquid prison pent wall glass beauti effect beauti bereft remembr flower distilld though winter meet lees show ; substanc still live sweet
sonnet vi	let winter rag hand defac thee thi summer ere thou distilld make sweet vial ; treasur thou place beauti treasur ere self - killd use forbidden usuri happi pay will loan ; that thyself breed anoth thee ten time happier ten one ; ten time thyself happier thou art ten thine ten time refigur thee could death thou shouldst depart leav thee live poster self - willd thou art much fair death conquest make worm thine heir
sonnet vii	lo orient graciou light lift burn head eye doth homag new - appear sight serv look sacr majesti ; climbd steep - heavenli hill resembl strong youth middl age yet mortal look ador beauti still attend golden pilgrimag ; highmost pitch weari car like feebl age reeleth day eye fore duteou convert low tract look anoth way thou thyself - go thi noon unlookd diest unless thou get son
sonnet viii	music hear hearst thou music sadli sweet sweet war joy delight joy lovest thou thou receivest gladli els receivest pleasur thine annoy true concord well - tune sound union marri offend thine ear sweetli chide thee confound singl part thou shouldst bear mark one string sweet husband anoth strike mutual order resembl sire child happi mother one one pleas note sing whose speechless song mani seem one sing thee thou singl wilt prove none
sonnet ix	fear wet widow eye thou consumest thyself singl life ah thou issueless shalt hap die world wail thee like makeless wife ; world thi widow still weep thou form thee hast left behind everi privat widow well may keep children eye husband shape mind look unthrift world doth spend shift place still world enjoy ; beauti wast hath world end kept unus user destroy love toward other bosom sit murder shame commit
sonnet x	shame deni thou bearst love thyself art unprovid grant thou wilt thou art belov mani thou none lovest evid ; thou art possessd murder hate gainst thyself thou stickst conspir seek beauteou roof ruinat repair thi chief desir o chang thi thought may chang mind shall hate fairer lodg gentl love thi presenc graciou kind thyself least kind - heart prove make thee anoth self love beauti still may live thine thee
sonnet xi	fast thou shalt wane fast thou growest one thine thou departest ; fresh blood youngli thou bestowest thou mayst call thine thou youth convertest herein live wisdom beauti increas without folli age cold decay mind time ceas threescor year would make world away let natur hath made store harsh featureless rude barrenli perish look best endowd gave ; bounteou gift thou shouldst bounti cherish carv thee seal meant therebi thou shouldst print let copi die
sonnet xii	count clock tell time see brave day sunk hideou night ; behold violet past prime sabl curl silverd oer white ; lofti tree see barren leav erst heat canopi herd summer green gird sheav born bier white bristli beard thi beauti question make thou among wast time must go sinc sweet beauti forsak die fast see other grow ; noth gainst time scyth make defenc save breed brave take thee henc
sonnet xiii	o love longer live come end prepar sweet semblanc give beauti hold leas find determin yourself deceas sweet issu sweet form bear let fair hous fall decay husbandri honour might uphold stormi gust winter day barren rage death etern cold o none unthrift dear love know father let son say
sonnet xiv	star judgment pluck ; yet methink astronomi tell good evil luck plagu dearth season qualiti ; fortun brief minut tell point thunder rain wind say princ shall go well oft predict heaven find thine eye knowledg deriv constant star read art truth beauti shall togeth thrive thyself store thou wouldst convert ; els thee prognost thi end truth beauti doom date
sonnet xv	consid everi thing grow hold perfect littl moment huge stage presenteth nought show whereon star secret influenc comment ; perceiv men plant increas cheer chequ even self - sky vaunt youth sap height decreas wear brave state memori ; conceit inconst stay set rich youth sight wast time debateth decay chang day youth sulli night ; war time love take engraft new
sonnet xvi	wherefor mightier way make war upon bloodi tyrant time fortifi decay mean bless barren rhyme stand top happi hour mani maiden garden yet unset virtuou wish would bear live flower much liker paint counterfeit line life life repair time pencil pupil pen neither inward worth outward fair make live eye men give away keep still must live drawn sweet skill
sonnet xvii	believ vers time come filld high desert though yet heaven know tomb hide life show half part could write beauti eye fresh number number grace age come would say poet lie heavenli touch neer touchd earthli face paper yellowd age scornd like old men less truth tongu true right termd poet rage stretch metr antiqu song child aliv time live twice ; rhyme
sonnet xviii	shall compar thee summer day thou art love temper rough wind shake darl bud may summer leas hath short date sometim hot eye heaven shine often gold complexion dimmd ; everi fair fair sometim declin chanc natur chang cours untrimmd ; thi etern summer shall fade lose possess fair thou owest ; shall death brag thou wanderst shade etern line time thou growest long men breath eye see long live give life thee
sonnet xix	devour time blunt thou lion paw make earth devour sweet brood ; pluck keen teeth fierc tiger jaw burn long - live phoenix blood ; make glad sorri season thou fleet whateer thou wilt swift - foot time wide world fade sweet ; forbid thee one heinou crime o carv thi hour love fair brow draw line thine antiqu pen ; thi cours untaint allow beauti pattern succeed men yet thi worst old time despit thi wrong love shall vers ever live young
